Frame number,19549
First frame,1
Point frequency,250
Analog frequency,250

Time,FINGER,,,ELBOW,,,SHOULDER,,,RIGHTHEAD,,,LEFTHEAD,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,69.7808,378.973,629.63,166.632,-12.8868,570.737,103.527,-262.208,565.299,64.2572,-195.091,735.24,-50.0909,-175.886,746.667
0.004,69.7808,378.973,629.63,166.632,-12.8868,570.737,103.302,-262.056,565.166,64.2572,-195.091,735.24,-50.0909,-175.886,746.667
0.008,69.7808,378.973,629.63,164.509,-13.1122,570.059,103.302,-262.056,565.166,64.2572,-195.091,735.24,-50.4862,-176,746.76
0.012,69.7808,378.973,629.63,164.509,-13.1122,570.059,103.302,-262.056,565.166,64.2572,-195.091,735.24,-50.0909,-175.886,746.667
0.016,69.7808,378.973,629.63,164.509,-13.1122,570.059,103.302,-262.056,565.166,64.2572,-195.091,735.24,-50.6417,-175.773,746.761
0.02,69.6928,379.08,629.578,164.251,-12.3883,569.701,103.302,-262.056,565.166,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.024,69.6653,379.145,629.546,164.251,-12.3883,569.701,103.302,-262.056,565.166,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.028,69.6653,379.145,629.546,164.251,-12.3883,569.701,103.302,-262.056,565.166,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.032,69.4115,379.333,629.307,164.937,-12.6244,570.346,103.259,-261.964,565.174,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.036,69.4115,379.333,629.307,164.937,-12.6244,570.346,103.259,-261.964,565.174,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.04,69.529,379.407,629.189,164.937,-12.6244,570.346,103.259,-261.964,565.174,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.044,69.529,379.407,629.189,164.937,-12.6244,570.346,103.259,-261.964,565.174,64.0993,-194.909,735.21,-51.0358,-175.887,746.854
0.048,69.7341,379.456,629.107,164.937,-12.6244,570.346,103.259,-261.964,565.174,64.0199,-194.854,735.269,-51.0358,-175.887,746.854
0.052,69.658,379.516,629.026,164.937,-12.6244,570.346,103.259,-261.964,565.174,63.8182,-194.663,735.315,-51.0358,-175.887,746.854
0.056,69.5991,379.548,628.902,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8182,-194.663,735.315,-51.0358,-175.887,746.854
0.06,69.5319,379.658,628.895,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.064,69.532,379.744,628.694,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.068,69.5277,379.815,628.691,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.072,69.5277,379.815,628.691,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.076,69.564,379.787,628.641,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.08,69.564,379.787,628.641,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.084,69.564,379.787,628.641,164.937,-12.6244,570.346,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.088,69.564,379.787,628.641,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.8466,-194.602,735.448,-51.0358,-175.887,746.854
0.092,69.564,379.787,628.641,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.8466,-194.602,735.448,-50.9634,-175.835,746.717
0.096,69.7057,379.83,628.452,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.8466,-194.602,735.448,-50.9634,-175.835,746.717
0.1,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.8466,-194.602,735.448,-50.9634,-175.835,746.717
0.104,69.7792,379.847,628.473,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.8466,-194.602,735.448,-50.9634,-175.835,746.717
0.108,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.9634,-175.835,746.717
0.112,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.9634,-175.835,746.717
0.116,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.9634,-175.835,746.717
0.12,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.9634,-175.835,746.717
0.124,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.9634,-175.835,746.717
0.128,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.6832,-175.724,746.531
0.132,69.864,379.858,628.341,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.6832,-175.724,746.531
0.136,69.9152,379.92,628.298,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.6832,-175.724,746.531
0.14,69.9152,379.92,628.298,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.178,-175.519,746.177
0.144,70.1497,380.052,627.891,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.178,-175.519,746.177
0.148,70.1109,380.061,627.842,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.178,-175.519,746.177
0.152,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.178,-175.519,746.177
0.156,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-50.178,-175.519,746.177
0.16,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.164,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.168,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.172,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.176,70.2061,380.098,627.739,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.18,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.184,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.324,-261.784,565.278,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.188,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.192,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.342,-261.818,565.171,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.196,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.324,-261.784,565.278,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.2,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.324,-261.784,565.278,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.204,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.324,-261.784,565.278,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.208,70.2471,380.186,627.715,164.881,-12.7224,570.295,103.324,-261.784,565.278,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.212,70.2676,380.266,627.713,164.881,-12.7224,570.295,103.249,-261.821,565.302,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.216,70.2822,380.284,627.851,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.22,70.2794,380.297,627.951,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.224,70.3181,380.288,627.999,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.228,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.21,-261.713,565.297,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.232,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.7191,-194.47,735.454,-49.7593,-175.395,746.065
0.236,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.614,-194.299,735.335,-49.7593,-175.395,746.065
0.24,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.151,-261.683,565.519,63.614,-194.299,735.335,-49.7593,-175.395,746.065
0.244,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.5769,-194.201,735.22,-49.7593,-175.395,746.065
0.248,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.151,-261.683,565.519,63.4038,-193.956,735.096,-49.7593,-175.395,746.065
0.252,70.2122,380.25,628.12,164.881,-12.7224,570.295,103.192,-261.679,565.405,63.4038,-193.956,735.096,-49.7593,-175.395,746.065
0.256,70.1927,380.392,628.1,164.881,-12.7224,570.295,103.151,-261.683,565.519,63.622,-194.001,735.442,-49.7593,-175.395,746.065
0.26,70.1927,380.392,628.1,164.898,-12.6492,570.268,103.151,-261.683,565.519,63.5489,-193.86,735.316,-49.7593,-175.395,746.065
0.264,70.1927,380.392,628.1,164.881,-12.7224,570.295,103.151,-261.683,565.519,63.5489,-193.86,735.316,-49.7593,-175.395,746.065
0.268,70.1927,380.392,628.1,164.898,-12.6492,570.268,103.151,-261.683,565.519,63.5489,-193.86,735.316,-49.7593,-175.395,746.065
0.272,70.1927,380.392,628.1,165.029,-12.4593,570.261,103.151,-261.683,565.519,63.5489,-193.86,735.316,-49.7593,-175.395,746.065
0.276,70.1927,380.392,628.1,164.892,-12.5655,570.26,103.151,-261.683,565.519,63.376,-193.633,735.229,-49.7593,-175.395,746.065
0.28,70.1927,380.392,628.1,164.892,-12.5655,570.26,103.151,-261.683,565.519,63.376,-193.633,735.229,-49.7593,-175.395,746.065
0.284,69.9732,380.512,628.109,164.892,-12.5655,570.26,103.151,-261.683,565.519,63.376,-193.633,735.229,-49.7593,-175.395,746.065
0.288,69.9732,380.512,628.109,164.892,-12.5655,570.26,103.151,-261.683,565.519,63.4454,-193.51,735.31,-49.7593,-175.395,746.065
0.292,69.9732,380.512,628.109,164.892,-12.5655,570.26,103.151,-261.683,565.519,63.4454,-193.51,735.31,-49.7593,-175.395,746.065
0.296,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.4454,-193.51,735.31,-49.7593,-175.395,746.065
0.3,69.9513,380.625,628.166,164.838,-12.5171,570.374,103.207,-261.463,565.509,63.4454,-193.51,735.31,-49.7593,-175.395,746.065
0.304,69.9513,380.625,628.166,165.029,-12.4593,570.261,103.207,-261.463,565.509,63.2708,-193.291,735.242,-49.7593,-175.395,746.065
0.308,69.9513,380.625,628.166,164.838,-12.5171,570.374,103.207,-261.463,565.509,63.27,-193.278,735.406,-48.9829,-175.141,745.766
0.312,69.9513,380.625,628.166,164.892,-12.5655,570.26,103.207,-261.463,565.509,63.27,-193.278,735.406,-48.9829,-175.141,745.766
0.316,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.27,-193.278,735.406,-48.9829,-175.141,745.766
0.32,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.27,-193.278,735.406,-48.6892,-175.025,745.57
0.324,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.2708,-193.291,735.242,-49.2414,-174.912,745.664
0.328,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.27,-193.278,735.406,-49.2414,-174.912,745.664
0.332,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.27,-193.278,735.406,-49.1077,-174.842,745.508
0.336,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.27,-193.278,735.406,-49.1077,-174.842,745.508
0.34,69.9513,380.625,628.166,164.97,-12.4205,570.368,103.207,-261.463,565.509,63.27,-193.278,735.406,-49.1077,-174.842,745.508
0.344,69.9513,380.625,628.166,164.948,-12.2926,570.345,103.207,-261.463,565.509,63.1434,-193.081,735.281,-49.7126,-174.722,745.692
0.348,69.9513,380.625,628.166,164.948,-12.2926,570.345,103.207,-261.463,565.509,63.1434,-193.081,735.281,-49.7126,-174.722,745.692
0.352,69.9513,380.625,628.166,164.948,-12.2926,570.345,103.207,-261.463,565.509,63.1434,-193.081,735.281,-49.7126,-174.722,745.692
0.356,69.9513,380.625,628.166,164.948,-12.2926,570.345,103.207,-261.463,565.509,62.9926,-192.912,735.263,-49.7126,-174.722,745.692
0.36,69.9513,380.625,628.166,165.008,-12.1665,570.4,103.311,-261.421,565.616,62.9926,-192.912,735.263,-49.7126,-174.722,745.692
0.364,69.9513,380.625,628.166,165.008,-12.1665,570.4,103.311,-261.421,565.616,62.9926,-192.912,735.263,-50.0725,-174.644,745.673
0.368,69.9153,380.629,628.121,164.88,-11.8838,570.371,103.311,-261.421,565.616,62.9926,-192.912,735.263,-49.6497,-174.508,745.522
0.372,69.9126,380.649,628.118,164.88,-11.8838,570.371,103.311,-261.421,565.616,62.8363,-192.685,735.141,-49.5611,-174.451,745.375
0.376,69.9126,380.649,628.118,164.88,-11.8838,570.371,103.311,-261.421,565.616,62.8363,-192.685,735.141,-50.3583,-174.302,745.754
0.38,69.8489,380.707,628.04,164.88,-11.8838,570.371,103.311,-261.421,565.616,62.8363,-192.685,735.141,-49.9249,-174.153,745.562
0.384,69.8489,380.707,628.04,164.872,-11.8059,570.364,103.311,-261.421,565.616,62.8363,-192.685,735.141,-49.9249,-174.153,745.562
0.388,69.8489,380.707,628.04,164.798,-11.6081,570.339,103.359,-261.297,565.681,62.8363,-192.685,735.141,-49.9249,-174.153,745.562
0.392,69.8489,380.707,628.04,164.572,-11.5114,570.15,103.359,-261.297,565.681,62.6497,-192.434,735.035,-49.9249,-174.153,745.562
0.396,69.8489,380.707,628.04,164.768,-11.6764,570.264,103.359,-261.297,565.681,62.6497,-192.434,735.035,-50.6464,-174.02,745.951
0.4,69.8232,380.769,628.01,164.693,-11.4785,570.239,103.359,-261.297,565.681,62.6497,-192.434,735.035,-50.6464,-174.02,745.951
0.404,69.8232,380.769,628.01,164.589,-11.349,570.139,103.42,-261.163,565.723,62.4775,-192.225,734.982,-50.6464,-174.02,745.951
0.408,69.8341,380.814,628.084,164.589,-11.349,570.139,103.359,-261.297,565.681,62.4775,-192.225,734.982,-50.3712,-173.955,745.943
0.412,69.8341,380.814,628.084,164.589,-11.349,570.139,103.287,-261.032,565.726,62.3495,-192.092,734.988,-50.1031,-173.845,745.753
0.416,69.8341,380.814,628.084,164.589,-11.349,570.139,103.42,-261.163,565.723,62.4595,-191.905,735.013,-49.6762,-173.702,745.573
0.42,69.8341,380.814,628.084,164.589,-11.349,570.139,103.287,-261.032,565.726,62.4595,-191.905,735.013,-49.6762,-173.702,745.573
0.424,69.8341,380.814,628.084,164.562,-11.2979,570.231,103.03,-260.733,565.531,62.4595,-191.905,735.013,-49.6762,-173.702,745.573
0.428,69.8341,380.814,628.084,164.589,-11.349,570.139,103.05,-260.647,565.456,62.4595,-191.905,735.013,-50.3972,-173.561,745.834
0.432,69.8137,380.88,628.061,164.41,-11.0981,570.219,103.306,-260.479,565.443,62.5594,-191.742,734.975,-50.3972,-173.561,745.834
0.436,69.8137,380.88,628.061,164.41,-11.0981,570.219,103.058,-260.548,565.392,62.5594,-191.742,734.975,-50.3972,-173.561,745.834
0.44,69.8137,380.88,628.061,164.41,-11.0981,570.219,103.292,-260.285,565.357,62.5594,-191.742,734.975,-50.3972,-173.561,745.834
0.444,69.8137,380.88,628.061,164.41,-11.0981,570.219,103.292,-260.285,565.357,62.5594,-191.742,734.975,-50.3972,-173.561,745.834
0.448,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.5594,-191.742,734.975,-50.3972,-173.561,745.834
0.452,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.5594,-191.742,734.975,-50.8157,-173.274,745.979
0.456,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.5594,-191.742,734.975,-50.8157,-173.274,745.979
0.46,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.5594,-191.742,734.975,-50.8157,-173.274,745.979
0.464,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.6443,-191.607,734.871,-50.8157,-173.274,745.979
0.468,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.6443,-191.607,734.871,-50.8157,-173.274,745.979
0.472,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.6443,-191.607,734.871,-50.8157,-173.274,745.979
0.476,69.7061,381.063,627.948,164.457,-10.9087,570.302,103.292,-260.285,565.357,62.6443,-191.607,734.871,-50.4039,-173.144,745.841
0.48,69.6418,381.072,627.785,164.457,-10.9087,570.302,103.307,-260.256,565.49,62.6443,-191.607,734.871,-50.4039,-173.144,745.841
0.484,69.683,381.155,627.759,164.457,-10.9087,570.302,103.282,-260.136,565.459,62.6443,-191.607,734.871,-50.4039,-173.144,745.841
0.488,69.7889,381.193,627.638,164.457,-10.9087,570.302,103.282,-260.136,565.459,62.6443,-191.607,734.871,-50.4039,-173.144,745.841
